name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Capgemini,3.9,(24.1k Reviews),Public,Paris + 79 more,55 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(21.9k Reviews),Public,"Pune,Maharashtra + 214 more",36 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(21.1k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1043 more",28 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(40k Reviews),Public,"Mumbai,Maharashtra + 1220 more",28 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 230 more",77 years old,1 Lakh+ Employees (India)
Infosys,3.9,(28.3k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.1k Reviews),Public,Paris + 79 more,55 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(21.9k Reviews),Public,"Pune,Maharashtra + 214 more",36 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(21.1k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
HCLTech,3.8,(18.6k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1043 more",28 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(40k Reviews),Public,"Mumbai,Maharashtra + 1220 more",28 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 230 more",77 years old,1 Lakh+ Employees (India)
Infosys,3.9,(28.3k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.1k Reviews),Public,Paris + 79 more,55 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(21.9k Reviews),Public,"Pune,Maharashtra + 214 more",36 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(21.1k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
HCLTech,3.8,(18.6k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
Amazon,4.3,(18.3k Reviews),Public,"Seattle,Washington + 384 more",28 years old,1 Lakh+ Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1043 more",28 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(40k Reviews),Public,"Mumbai,Maharashtra + 1220 more",28 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 230 more",77 years old,1 Lakh+ Employees (India)
Infosys,3.9,(28.3k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.1k Reviews),Public,Paris + 79 more,55 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(21.9k Reviews),Public,"Pune,Maharashtra + 214 more",36 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(21.1k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
HCLTech,3.8,(18.6k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
Amazon,4.3,(18.3k Reviews),Public,"Seattle,Washington + 384 more",28 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(19.1k Reviews),Public,"Mumbai,Maharashtra + 1074 more",29 years old,1 Lakh+ Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1043 more",28 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(40k Reviews),Public,"Mumbai,Maharashtra + 1220 more",28 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 230 more",77 years old,1 Lakh+ Employees (India)
Infosys,3.9,(28.3k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.1k Reviews),Public,Paris + 79 more,55 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(21.9k Reviews),Public,"Pune,Maharashtra + 214 more",36 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(21.1k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
HCLTech,3.8,(18.6k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
Amazon,4.3,(18.3k Reviews),Public,"Seattle,Washington + 384 more",28 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(19.1k Reviews),Public,"Mumbai,Maharashtra + 1074 more",29 years old,1 Lakh+ Employees (India)
IBM,4.2,(15.7k Reviews),Public,"Armonk,New York + 119 more",111 years old,1 Lakh+ Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1043 more",28 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(40k Reviews),Public,"Mumbai,Maharashtra + 1220 more",28 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 230 more",77 years old,1 Lakh+ Employees (India)
Infosys,3.9,(28.3k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.1k Reviews),Public,Paris + 79 more,55 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(21.9k Reviews),Public,"Pune,Maharashtra + 214 more",36 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(21.1k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
HCLTech,3.8,(18.6k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
Amazon,4.3,(18.3k Reviews),Public,"Seattle,Washington + 384 more",28 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(19.1k Reviews),Public,"Mumbai,Maharashtra + 1074 more",29 years old,1 Lakh+ Employees (India)
IBM,4.2,(15.7k Reviews),Public,"Armonk,New York + 119 more",111 years old,1 Lakh+ Employees (India)
Concentrix Corpo...,4.1,(15.2k Reviews),Public,"Fremont,California + 69 more",39 years old,10k-50k Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1043 more",28 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(40k Reviews),Public,"Mumbai,Maharashtra + 1220 more",28 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 230 more",77 years old,1 Lakh+ Employees (India)
Infosys,3.9,(28.3k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.1k Reviews),Public,Paris + 79 more,55 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(21.9k Reviews),Public,"Pune,Maharashtra + 214 more",36 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(21.1k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
HCLTech,3.8,(18.6k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
Amazon,4.3,(18.3k Reviews),Public,"Seattle,Washington + 384 more",28 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(19.1k Reviews),Public,"Mumbai,Maharashtra + 1074 more",29 years old,1 Lakh+ Employees (India)
IBM,4.2,(15.7k Reviews),Public,"Armonk,New York + 119 more",111 years old,1 Lakh+ Employees (India)
Concentrix Corpo...,4.1,(15.2k Reviews),Public,"Fremont,California + 69 more",39 years old,10k-50k Employees (India)
Reliance jio,4.0,(15.1k Reviews),Public,"Navi Mumbai,Maharashtra + 965 more",15 years old,50k-1 Lakh Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1043 more",28 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(40k Reviews),Public,"Mumbai,Maharashtra + 1220 more",28 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 230 more",77 years old,1 Lakh+ Employees (India)
Infosys,3.9,(28.3k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.1k Reviews),Public,Paris + 79 more,55 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(21.9k Reviews),Public,"Pune,Maharashtra + 214 more",36 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(21.1k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
HCLTech,3.8,(18.6k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
Amazon,4.3,(18.3k Reviews),Public,"Seattle,Washington + 384 more",28 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(19.1k Reviews),Public,"Mumbai,Maharashtra + 1074 more",29 years old,1 Lakh+ Employees (India)
IBM,4.2,(15.7k Reviews),Public,"Armonk,New York + 119 more",111 years old,1 Lakh+ Employees (India)
Concentrix Corpo...,4.1,(15.2k Reviews),Public,"Fremont,California + 69 more",39 years old,10k-50k Employees (India)
Reliance jio,4.0,(15.1k Reviews),Public,"Navi Mumbai,Maharashtra + 965 more",15 years old,50k-1 Lakh Employees (India)
Larsen & Toubro ...,4.1,(24.9k Reviews),Public,"Mumbai,Maharashtra + 523 more",84 years old,10k-50k Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1043 more",28 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(40k Reviews),Public,"Mumbai,Maharashtra + 1220 more",28 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 230 more",77 years old,1 Lakh+ Employees (India)
Infosys,3.9,(28.3k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.1k Reviews),Public,Paris + 79 more,55 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(21.9k Reviews),Public,"Pune,Maharashtra + 214 more",36 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(21.1k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
HCLTech,3.8,(18.6k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
Amazon,4.3,(18.3k Reviews),Public,"Seattle,Washington + 384 more",28 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(19.1k Reviews),Public,"Mumbai,Maharashtra + 1074 more",29 years old,1 Lakh+ Employees (India)
IBM,4.2,(15.7k Reviews),Public,"Armonk,New York + 119 more",111 years old,1 Lakh+ Employees (India)
Concentrix Corpo...,4.1,(15.2k Reviews),Public,"Fremont,California + 69 more",39 years old,10k-50k Employees (India)
Reliance jio,4.0,(15.1k Reviews),Public,"Navi Mumbai,Maharashtra + 965 more",15 years old,50k-1 Lakh Employees (India)
Larsen & Toubro ...,4.1,(24.9k Reviews),Public,"Mumbai,Maharashtra + 523 more",84 years old,10k-50k Employees (India)
Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 562 more",4 years old,10k-50k Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1043 more",28 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(40k Reviews),Public,"Mumbai,Maharashtra + 1220 more",28 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 230 more",77 years old,1 Lakh+ Employees (India)
Infosys,3.9,(28.3k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.1k Reviews),Public,Paris + 79 more,55 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(21.9k Reviews),Public,"Pune,Maharashtra + 214 more",36 years old,50k-1 Lakh Employees (India)
Genpact,4.0,(21.1k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
HCLTech,3.8,(18.6k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
Amazon,4.3,(18.3k Reviews),Public,"Seattle,Washington + 384 more",28 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(19.1k Reviews),Public,"Mumbai,Maharashtra + 1074 more",29 years old,1 Lakh+ Employees (India)
IBM,4.2,(15.7k Reviews),Public,"Armonk,New York + 119 more",111 years old,1 Lakh+ Employees (India)
Concentrix Corpo...,4.1,(15.2k Reviews),Public,"Fremont,California + 69 more",39 years old,10k-50k Employees (India)
Reliance jio,4.0,(15.1k Reviews),Public,"Navi Mumbai,Maharashtra + 965 more",15 years old,50k-1 Lakh Employees (India)
Larsen & Toubro ...,4.1,(24.9k Reviews),Public,"Mumbai,Maharashtra + 523 more",84 years old,10k-50k Employees (India)
Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 562 more",4 years old,10k-50k Employees (India)
HDB Financial Se...,4.0,(13.5k Reviews),Private,"Ahmedabad,Gujrat + 773 more",15 years old,1 Lakh+ Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1043 more",28 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(40k Reviews),Public,"Mumbai,Maharashtra + 1220 more",28 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 230 more",77 years old,1 Lakh+ Employees (India)
